content,timestamp,reactions,scraped_at
Play,Unknown,"2,664",2025-01-19 11:43:22
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,206,2025-01-19 11:43:22
"Activate to view larger image,
Activate to view larger image,",Unknown,37,2025-01-19 11:43:22
Play,Unknown,"2,664",2025-01-19 11:43:27
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,206,2025-01-19 11:43:27
"Activate to view larger image,
Activate to view larger image,",Unknown,37,2025-01-19 11:43:27
"Founders must focus on doing things that do not scale, says Varun Limaye, founder at Mesa School of Business.

It helps founders understand the true nature of an underlying problem, get to interact very deeply with customers, and identify future scaling challenges, he says.

What should founders focus on at the initial stages? Share your thoughts in the comments section. The best piece of entrepreneurship advice I ever got: 

""Do things that do not scale."" 

So easily misunderstood, yet so simple and powerful.

When a founder does things that do not scale, they:
- understand the true nature of the underlying problem
- get to interact very deeply with customers and spend 1:1 time
- understand which part of solving the problem will introduce scaling challenges in the future

The worst thing that I hear folks say to me - when I sometimes just pick up the phone and start calling customers is - ""hey this is not scalable"".

Trust me when I say this - Scaling a potential solution to a problem is much much simpler than: finding a problem, understanding it, building a solution which is 5x better than alternative and creating customer love.

Do the latter first, scaling will follow!",Unknown,211,2025-01-19 11:43:27
Play,Unknown,820,2025-01-19 11:43:27
Play,Unknown,23,2025-01-19 11:43:27
Your document is loading,Unknown,"1,105",2025-01-19 11:43:27
Play,Unknown,75,2025-01-19 11:43:28
"Activate to view larger image,
Activate to view larger image,",Unknown,890,2025-01-19 11:43:28
Play,Unknown,"2,664",2025-01-19 11:43:33
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,206,2025-01-19 11:43:33
"Activate to view larger image,
Activate to view larger image,",Unknown,37,2025-01-19 11:43:33
"Founders must focus on doing things that do not scale, says Varun Limaye, founder at Mesa School of Business.

It helps founders understand the true nature of an underlying problem, get to interact very deeply with customers, and identify future scaling challenges, he says.

What should founders focus on at the initial stages? Share your thoughts in the comments section. The best piece of entrepreneurship advice I ever got: 

""Do things that do not scale."" 

So easily misunderstood, yet so simple and powerful.

When a founder does things that do not scale, they:
- understand the true nature of the underlying problem
- get to interact very deeply with customers and spend 1:1 time
- understand which part of solving the problem will introduce scaling challenges in the future

The worst thing that I hear folks say to me - when I sometimes just pick up the phone and start calling customers is - ""hey this is not scalable"".

Trust me when I say this - Scaling a potential solution to a problem is much much simpler than: finding a problem, understanding it, building a solution which is 5x better than alternative and creating customer love.

Do the latter first, scaling will follow!",Unknown,211,2025-01-19 11:43:33
Play,Unknown,820,2025-01-19 11:43:33
Play,Unknown,23,2025-01-19 11:43:33
Your document is loading,Unknown,"1,105",2025-01-19 11:43:33
Play,Unknown,75,2025-01-19 11:43:33
"Activate to view larger image,
Activate to view larger image,",Unknown,890,2025-01-19 11:43:33
