content,timestamp,reactions,scraped_at
"Activate to view larger image,
Activate to view larger image,",Unknown,"1,305",2025-01-18 17:24:52
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,127,2025-01-18 17:24:52
"Activate to view larger image,
Activate to view larger image,",Unknown,"1,305",2025-01-18 17:24:58
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,127,2025-01-18 17:24:58
"Motivation is overrated, says LinkedIn member Anshuman Sengar.

Instead one must focus on showing up every day.

""Consistency builds momentum, and momentum beats motivation every time,"" Sengar adds.

How do you stay motivated at work? Share your thoughts in the comments section. Let’s be honest, we cannot be motivated every single time we're working on our goal 💭


Let’s face it—when life feels like one big dead end, staying motivated isn’t just hard—it feels pointless.

We hear advice like “stay positive” ✨ or “trust the process” 📈, but sometimes, those words hit like empty clichés.

Here’s what I’ve learned from my own tough days:

💡 Motivation is overrated.
It’s fleeting, unreliable, and rarely there when you need it most. Instead, focus on Showing Up.

When results seem impossible, stop obsessing over them. Do the work for the sake of doing it.

✅ Do one thing every day toward your goal, no matter how small.
Some days, it was 10 minutes of effort; other days, it was hours.

Consistency builds momentum, and momentum beats motivation every time. 🚀",Unknown,160,2025-01-18 17:24:58
"Activate to view larger image,
Activate to view larger image,",Unknown,"2,766",2025-01-18 17:24:58
"Activate to view larger image,
Activate to view larger image,",Unknown,650,2025-01-18 17:24:58
"Leadership isn’t about being the smartest person in the room, says LinkedIn member Rajiv Talreja.

In fact, it’s about making people think and challenging the status quo, he says.

""The right question can unlock answers your team didn’t even know they had,"" Talreja adds.

What are the essential qualities of a good leader? Share your thoughts in the comments section. Unpopular Opinion: Great leaders DON'T know everything.
Leadership isn’t about being the ""smartest person in the room"".
It’s about being the one who asks, Why?

""Why are we doing this?""
""Why hasn’t this improved?""
""Why are we stuck here?""

It’s about making people think. Challenging the status quo.
Because the right question can unlock answers your team didn’t even know they had.

So, next time you’re tempted to give an answer, try asking a better question instead.

You might just lead better.
SHARE with someone who needs to hear this.",Unknown,208,2025-01-18 17:24:59
Your document is loading,Unknown,157,2025-01-18 17:24:59
"Activate to view larger image,",Unknown,"5,897",2025-01-18 17:24:59
"Activate to view larger image,
Activate to view larger image,",Unknown,"1,305",2025-01-18 17:25:05
"Play
ACCA Admissions Open for Mar/Jun 2025 Attempt
Apply. View Sponsored Content
Apply",Unknown,127,2025-01-18 17:25:05
